dates,Days,EVI,Cases,Index,pvs,pvn,lag_all,c_all,se_all,sp_all
18283,1,NA,0,NA,NA,NA,7,0.01,NA,NA
18284,2,NA,0,NA,NA,NA,7,0.01,NA,NA
18285,3,0,0,0,NA,NA,7,0.01,NA,NA
18286,4,0,0,0,NA,NA,7,0.01,NA,NA
18287,5,0,0,0,NA,NA,7,0.01,NA,NA
18288,6,0,0,0,NA,NA,7,0.01,NA,NA
18289,7,0,0,0,NA,NA,7,0.01,NA,NA
18290,8,0,0,0,NA,NA,7,0.01,NA,NA
18291,9,0,0,0,NA,NA,7,0.01,NA,NA
18292,10,0,0,0,NA,NA,7,0.01,NA,NA
18293,11,0,0,0,NA,NA,7,0.01,NA,NA
18294,12,0,0,0,NA,NA,7,0.01,NA,NA
18295,13,0,0,0,NA,NA,7,0.01,NA,NA
18296,14,0,0,0,NA,NA,7,0.01,NA,NA
18297,15,0,0,0,0,0,7,0.01,0,0
18298,16,0,0,0,0,0,7,0.01,0,0
18299,17,0,0,0,0,0,7,0.01,0,0
18300,18,0,0,0,0,0,7,0.01,0,0
18301,19,0,0,0,0,0,7,0.01,0,0
18302,20,0,0,0,0,0,7,0.01,0,0
18303,21,0,0,0,0,0,7,0.01,0,0
18304,22,0,0,0,0,0,7,0.01,0,0
18305,23,0,0,0,0,0,7,0.01,0,0
18306,24,0,0,0,0,0,7,0.01,0,0
18307,25,0,0,0,0,0,7,0.01,0,0
18308,26,0,0,0,0,0,7,0.01,0,0
18309,27,0,0,0,0,0,7,0.01,0,0
18310,28,0,0,0,0,0,7,0.01,0,0
18311,29,0,0,0,0,0,7,0.01,0,0
18312,30,0,0,0,0,0,7,0.01,0,0
18313,31,0,0,0,0,0,7,0.01,0,0
18314,32,0,0,0,0,0,7,0.01,0,0
18315,33,0,0,0,0,0,7,0.01,0,0
18316,34,0,0,0,0,0,7,0.01,0,0
18317,35,0,0,0,0,0,7,0.01,0,0
18318,36,0,0,0,0,0,7,0.01,0,0
18319,37,0,0,0,0,0,7,0.01,0,0
18320,38,Inf,0.142857142857143,1,0,0,7,0.01,0,0
18321,39,2.95811402901264,0.571428571428571,1,0,0,7,0.01,0,0
18322,40,0.436603559522961,0.714285714285714,1,0,0,7,0.01,0,0
18323,41,0.121486495131746,0.714285714285714,1,0,0,7,0.01,0,0
18324,42,0,0.714285714285714,0,0,0,7,0.01,0,0
18325,43,-0.108326311247711,0.714285714285714,0,0,0,7,0.01,0,0
18326,44,-0.303913739200215,0.714285714285714,0,0,0,7,0.01,0,0
18327,45,-0.747354423680044,0.714285714285714,0,0.142857142857143,0,7,0.01,0.03125,0
18328,46,2,0.285714285714286,0,0.25,0,7,0.01,0.0606060606060606,0
18329,47,0.290994448735806,0.285714285714286,0,0.333333333333333,0,7,0.01,0.0882352941176471,0
18330,48,0.0954451150103323,0.285714285714286,0,0.4,0,7,0.01,0.114285714285714,0
18331,49,0,0.285714285714286,0,1,0.184210526315789,7,0.01,0.114285714285714,1
18332,50,-0.118082896311803,0.428571428571429,0,1,0.205128205128205,7,0.01,0.114285714285714,1
18333,51,0.397276262011544,1,1,1,0.225,7,0.01,0.114285714285714,1
18334,52,2.38035934011352,2.85714285714286,1,1,0.24390243902439,7,0.01,0.114285714285714,1
18335,53,0.908247560285102,5,1,1,0.238095238095238,7,0.01,0.111111111111111,1
18336,54,0.402560044207891,6.57142857142857,1,1,0.232558139534884,7,0.01,0.108108108108108,1
18337,55,0.511083407085936,10.7142857142857,1,1,0.227272727272727,7,0.01,0.105263157894737,1
18338,56,0.194784000797055,12.2857142857143,1,1,0.222222222222222,7,0.01,0.102564102564103,1
18339,57,0.158599606734245,15.7142857142857,1,1,0.217391304347826,7,0.01,0.1,1
18340,58,0.232242431934421,21.7142857142857,1,1,0.217391304347826,7,0.01,0.121951219512195,1
18341,59,0.142936428656366,25.2857142857143,1,1,0.217391304347826,7,0.01,0.142857142857143,1
18342,60,0.125776529364135,30,1,1,0.217391304347826,7,0.01,0.162790697674419,1
