dates,Days,EVI,Cases,Index,pvs,pvn,lag_all,c_all,se_all,sp_all
18283,1,NA,0,NA,NA,NA,7,0.01,NA,NA
18284,2,NA,0,NA,NA,NA,7,0.01,NA,NA
18285,3,0,0,0,NA,NA,7,0.01,NA,NA
18286,4,0,0,0,NA,NA,7,0.01,NA,NA
18287,5,0,0,0,NA,NA,7,0.01,NA,NA
18288,6,0,0,0,NA,NA,7,0.01,NA,NA
18289,7,0,0,0,NA,NA,7,0.01,NA,NA
18290,8,0,0,0,NA,NA,7,0.01,NA,NA
18291,9,0,0,0,NA,NA,7,0.01,NA,NA
18292,10,0,0,0,NA,NA,7,0.01,NA,NA
18293,11,0,0,0,NA,NA,7,0.01,NA,NA
18294,12,0,0,0,NA,NA,7,0.01,NA,NA
18295,13,0,0,0,NA,NA,7,0.01,NA,NA
18296,14,0,0,0,NA,NA,7,0.01,NA,NA
18297,15,0,0,0,0,0,7,0.01,0,0
18298,16,0,0,0,0,0,7,0.01,0,0
18299,17,0,0,0,0,0,7,0.01,0,0
18300,18,0,0,0,0,0,7,0.01,0,0
18301,19,0,0,0,0,0,7,0.01,0,0
18302,20,0,0,0,0,0,7,0.01,0,0
18303,21,0,0,0,0,0,7,0.01,0,0
18304,22,0,0,0,0,0,7,0.01,0,0
18305,23,0,0,0,0,0,7,0.01,0,0
18306,24,0,0,0,0,0,7,0.01,0,0
18307,25,0,0,0,0,0,7,0.01,0,0
18308,26,0,0,0,0,0,7,0.01,0,0
18309,27,0,0,0,0,0,7,0.01,0,0
18310,28,0,0,0,0,0,7,0.01,0,0
18311,29,0,0,0,0,0,7,0.01,0,0
18312,30,0,0,0,0,0,7,0.01,0,0
18313,31,0,0,0,0,0,7,0.01,0,0
18314,32,0,0,0,0,0,7,0.01,0,0
18315,33,0,0,0,0,0,7,0.01,0,0
18316,34,0,0,0,0,0,7,0.01,0,0
18317,35,0,0,0,0,0,7,0.01,0,0
18318,36,0,0,0,0,0,7,0.01,0,0
18319,37,0,0,0,0,0,7,0.01,0,0
18320,38,0,0,0,0,0,7,0.01,0,0
18321,39,0,0,0,0,0,7,0.01,0,0
18322,40,0,0,0,0,0,7,0.01,0,0
18323,41,Inf,0.142857142857143,1,0,0,7,0.01,0,0
18324,42,0.290994448735806,0.142857142857143,1,0,0,7,0.01,0,0
18325,43,0.0954451150103322,0.142857142857143,1,0,0,7,0.01,0,0
18326,44,0.414213562373095,0.285714285714286,1,0,0,7,0.01,0,0
18327,45,0.0801234497346434,0.285714285714286,1,0,0,7,0.01,0,0
18328,46,-0.0741799002274485,0.285714285714286,0,0,0,7,0.01,0,0
18329,47,-0.292893218813452,0.285714285714286,0,0,0,7,0.01,0,0
18330,48,0,0.142857142857143,0,0.142857142857143,0,7,0.01,0.0285714285714286,0
18331,49,-0.0871290708247231,0.285714285714286,0,0.25,0,7,0.01,0.0555555555555556,0
18332,50,0.843908891458577,0.571428571428571,1,0.333333333333333,0,7,0.01,0.0810810810810811,0
18333,51,0.260252075625209,0.571428571428571,1,0.4,0,7,0.01,0.105263157894737,0
18334,52,0.290994448735805,0.714285714285714,1,0.454545454545455,0,7,0.01,0.128205128205128,0
18335,53,2.23914548794331,2.14285714285714,1,0.5,0,9,0.01,0.15,0
18336,54,0.93708378186945,3.71428571428571,1,0.538461538461539,0,11,0.01,0.170731707317073,0
18337,55,0.275354114495034,3.85714285714286,1,0.538461538461538,0,11,0.01,0.166666666666667,0
18338,56,0.278592479570234,5,1,0.571428571428571,0,14,0.01,0.186046511627907,0
18339,57,0.255556256422093,6.28571428571429,1,0.6,0,14,0.01,0.204545454545455,0
18340,58,0.267345928811676,8.14285714285714,1,0.625,0,14,0.01,0.222222222222222,0
18341,59,0.237244580619076,10,1,0.647058823529412,0,14,0.01,0.239130434782609,0
18342,60,0.173601529493404,11.2857142857143,1,0.666666666666667,0,14,0.01,0.25531914893617,0
18343,61,0.127024924733516,12.4285714285714,1,0.684210526315789,0,14,0.01,0.270833333333333,0
