dates,Days,EVI,Cases,Index,pvs,pvn,lag_all,c_all,se_all,sp_all
18283,1,NA,0,NA,NA,NA,7,0.01,NA,NA
18284,2,NA,0,NA,NA,NA,7,0.01,NA,NA
18285,3,0,0,0,NA,NA,7,0.01,NA,NA
18286,4,Inf,0.25,1,NA,NA,7,0.01,NA,NA
18287,5,-0.0040080321609014,0.2,0,NA,NA,7,0.01,NA,NA
18288,6,-0.0709133993060666,0.166666666666667,0,NA,NA,7,0.01,NA,NA
18289,7,-0.0777827090604898,0.142857142857143,0,NA,NA,7,0.01,NA,NA
18290,8,-0.104372112305484,0.142857142857143,0,NA,NA,7,0.01,NA,NA
18291,9,-0.195710638522936,0.142857142857143,0,NA,NA,7,0.01,NA,NA
18292,10,-0.461915394009501,0.142857142857143,0,NA,NA,7,0.01,NA,NA
18293,11,0.519804520078664,0,0,NA,NA,7,0.01,NA,NA
18294,12,0.154582125771815,0,0,NA,NA,7,0.01,NA,NA
18295,13,0.0524696231684351,0,0,NA,NA,7,0.01,NA,NA
18296,14,0,0,0,NA,NA,7,0.01,NA,NA
18297,15,-0.0871290708247231,0,0,NA,1,7,0.01,0,1
18298,16,-0.225403330758517,0,0,NA,1,7,0.01,0,1
18299,17,-1,0,0,NA,1,7,0.01,0,1
18300,18,0,0,0,NA,1,7,0.01,0,1
18301,19,0,0,0,NA,1,7,0.01,0,1
18302,20,0,0,0,NA,1,7,0.01,0,1
18303,21,0,0,0,NA,1,7,0.01,0,1
18304,22,0,0,0,NA,1,7,0.01,0,1
18305,23,0,0,0,NA,1,7,0.01,0,1
18306,24,0,0,0,NA,0.941176470588235,7,0.01,0,1
18307,25,0,0,0,NA,0.888888888888889,7,0.01,0,1
18308,26,0,0,0,NA,0.842105263157895,7,0.01,0,1
18309,27,0,0,0,NA,0.8,7,0.01,0,1
18310,28,0,0,0,NA,0.761904761904762,7,0.01,0,1
18311,29,0,0,0,NA,0.727272727272727,7,0.01,0,1
18312,30,0,0,0,NA,0.695652173913043,7,0.01,0,1
18313,31,0,0,0,NA,0.666666666666667,7,0.01,0,1
18314,32,0,0,0,NA,0.64,7,0.01,0,1
18315,33,0,0,0,NA,0.615384615384615,7,0.01,0,1
18316,34,0,0,0,NA,0.592592592592593,7,0.01,0,1
18317,35,0,0,0,NA,0.571428571428571,7,0.01,0,1
18318,36,0,0,0,NA,0.551724137931034,7,0.01,0,1
18319,37,0,0,0,NA,0.533333333333333,7,0.01,0,1
18320,38,0,0,0,NA,0.516129032258065,7,0.01,0,1
18321,39,0,0,0,NA,0.5,7,0.01,0,1
18322,40,0,0,0,NA,0.484848484848485,7,0.01,0,1
18323,41,0,0,0,NA,0.470588235294118,7,0.01,0,1
18324,42,0,0,0,NA,0.457142857142857,7,0.01,0,1
18325,43,0,0,0,NA,0.444444444444444,7,0.01,0,1
18326,44,0,0,0,NA,0.432432432432432,7,0.01,0,1
18327,45,0,0,0,NA,0.421052631578947,7,0.01,0,1
18328,46,0,0,0,NA,0.41025641025641,7,0.01,0,1
18329,47,0,0,0,NA,0.4,7,0.01,0,1
18330,48,0,0,0,NA,0.390243902439024,7,0.01,0,1
18331,49,0,0,0,NA,0.380952380952381,7,0.01,0,1
18332,50,0,0,0,NA,0.372093023255814,7,0.01,0,1
18333,51,0,0,0,NA,0.363636363636364,7,0.01,0,1
18334,52,0,0,0,NA,0.355555555555556,7,0.01,0,1
18335,53,0,0,0,NA,0.347826086956522,7,0.01,0,1
18336,54,0,0,0,NA,0.340425531914894,7,0.01,0,1
18337,55,0,0,0,NA,0.333333333333333,7,0.01,0,1
18338,56,0,0,0,NA,0.326530612244898,7,0.01,0,1
18339,57,0,0,0,NA,0.32,7,0.01,0,1
18340,58,0,0,0,NA,0.313725490196078,7,0.01,0,1
18341,59,0,0,0,NA,0.307692307692308,7,0.01,0,1
18342,60,0,0,0,NA,0.30188679245283,7,0.01,0,1
18343,61,0,0,0,NA,0.296296296296296,7,0.01,0,1
18344,62,Inf,0.142857142857143,1,NA,0.290909090909091,7,0.01,0,1
