dates,Days,EVI,Cases,Index,pvs,pvn,lag_all,c_all,se_all,sp_all
18283,1,NA,0,NA,NA,NA,7,0.01,NA,NA
18284,2,NA,0,NA,NA,NA,7,0.01,NA,NA
18285,3,0,0,0,NA,NA,7,0.01,NA,NA
18286,4,0,0,0,NA,NA,7,0.01,NA,NA
18287,5,0,0,0,NA,NA,7,0.01,NA,NA
18288,6,0,0,0,NA,NA,7,0.01,NA,NA
18289,7,0,0,0,NA,NA,7,0.01,NA,NA
18290,8,0,0,0,NA,NA,7,0.01,NA,NA
18291,9,0,0,0,NA,NA,7,0.01,NA,NA
18292,10,0,0,0,NA,NA,7,0.01,NA,NA
18293,11,0,0,0,NA,NA,7,0.01,NA,NA
18294,12,0,0,0,NA,NA,7,0.01,NA,NA
18295,13,0,0,0,NA,NA,7,0.01,NA,NA
18296,14,0,0,0,NA,NA,7,0.01,NA,NA
18297,15,0,0,0,0,0,7,0.01,0,0
18298,16,0,0,0,0,0,7,0.01,0,0
18299,17,0,0,0,0,0,7,0.01,0,0
18300,18,0,0,0,0,0,7,0.01,0,0
18301,19,0,0,0,0,0,7,0.01,0,0
18302,20,0,0,0,0,0,7,0.01,0,0
18303,21,0,0,0,0,0,7,0.01,0,0
18304,22,0,0,0,0,0,7,0.01,0,0
18305,23,0,0,0,0,0,7,0.01,0,0
18306,24,0,0,0,0,0,7,0.01,0,0
18307,25,0,0,0,0,0,7,0.01,0,0
18308,26,0,0,0,0,0,7,0.01,0,0
18309,27,0,0,0,0,0,7,0.01,0,0
18310,28,0,0,0,0,0,7,0.01,0,0
18311,29,0,0,0,0,0,7,0.01,0,0
18312,30,0,0,0,0,0,7,0.01,0,0
18313,31,0,0,0,0,0,7,0.01,0,0
18314,32,0,0,0,0,0,7,0.01,0,0
18315,33,0,0,0,0,0,7,0.01,0,0
18316,34,0,0,0,0,0,7,0.01,0,0
18317,35,0,0,0,0,0,7,0.01,0,0
18318,36,0,0,0,0,0,7,0.01,0,0
18319,37,0,0,0,0,0,7,0.01,0,0
18320,38,Inf,0.142857142857143,1,0,0,7,0.01,0,0
18321,39,0.290994448735806,0.142857142857143,1,0,0,7,0.01,0,0
18322,40,0.0954451150103322,0.142857142857143,1,0,0,7,0.01,0,0
18323,41,0,0.142857142857143,0,0,0,7,0.01,0,0
18324,42,-0.0871290708247231,0.142857142857143,0,0,0,7,0.01,0,0
18325,43,-0.225403330758517,0.142857142857143,0,0,0,7,0.01,0,0
18326,44,-1,0.142857142857143,0,0,0,7,0.01,0,0
18327,45,Inf,0,0,0.142857142857143,0,7,0.01,0.03125,0
18328,46,0.290994448735806,0,0,0.25,0,7,0.01,0.0606060606060606,0
18329,47,0.0954451150103322,0,0,0.333333333333333,0,7,0.01,0.0882352941176471,0
18330,48,0,0.142857142857143,0,1,0.18421052631579,7,0.01,0.0882352941176471,1
18331,49,0,0.142857142857143,0,1,0.205128205128205,7,0.01,0.0882352941176471,1
18332,50,0,0.142857142857143,0,1,0.225,7,0.01,0.0882352941176471,1
18333,51,0,0.142857142857143,0,1,0.24390243902439,7,0.01,0.0882352941176471,1
18334,52,-0.0871290708247231,0.142857142857143,0,1,0.261904761904762,7,0.01,0.0882352941176471,1
18335,53,-0.225403330758517,0.142857142857143,0,1,0.255813953488372,7,0.01,0.0857142857142857,1
18336,54,-1,0.142857142857143,0,1,0.25,7,0.01,0.0833333333333333,1
18337,55,Inf,0,0,1,0.244444444444444,7,0.01,0.0810810810810811,1
18338,56,0,0.142857142857143,0,1,0.239130434782609,7,0.01,0.0789473684210526,1
18339,57,4.25991127935317,0.857142857142857,1,1,0.234042553191489,7,0.01,0.0769230769230769,1
18340,58,0.289438095609726,0.857142857142857,1,1,0.229166666666667,7,0.01,0.075,1
18341,59,0.474419561548971,1.42857142857143,1,1,0.224489795918367,7,0.01,0.0731707317073171,1
18342,60,0.862793601019716,2.85714285714286,1,1,0.22,7,0.01,0.0714285714285714,1
18343,61,0.463287522888024,4,1,1,0.215686274509804,7,0.01,0.0697674418604651,1
