dates,Days,EVI,Cases,Index,pvs,pvn,lag_all,c_all,se_all,sp_all
18283,1,NA,0,NA,NA,NA,7,0.01,NA,NA
18284,2,NA,0,NA,NA,NA,7,0.01,NA,NA
18285,3,0,0,0,NA,NA,7,0.01,NA,NA
18286,4,0,0,0,NA,NA,7,0.01,NA,NA
18287,5,0,0,0,NA,NA,7,0.01,NA,NA
18288,6,0,0,0,NA,NA,7,0.01,NA,NA
18289,7,0,0,0,NA,NA,7,0.01,NA,NA
18290,8,0,0,0,NA,NA,7,0.01,NA,NA
18291,9,0,0,0,NA,NA,7,0.01,NA,NA
18292,10,0,0,0,NA,NA,7,0.01,NA,NA
18293,11,0,0,0,NA,NA,7,0.01,NA,NA
18294,12,0,0,0,NA,NA,7,0.01,NA,NA
18295,13,0,0,0,NA,NA,7,0.01,NA,NA
18296,14,0,0,0,NA,NA,7,0.01,NA,NA
18297,15,0,0,0,0,0,7,0.01,0,0
18298,16,0,0,0,0,0,7,0.01,0,0
18299,17,0,0,0,0,0,7,0.01,0,0
18300,18,0,0,0,0,0,7,0.01,0,0
18301,19,0,0,0,0,0,7,0.01,0,0
18302,20,0,0,0,0,0,7,0.01,0,0
18303,21,0,0,0,0,0,7,0.01,0,0
18304,22,0,0,0,0,0,7,0.01,0,0
18305,23,0,0,0,0,0,7,0.01,0,0
18306,24,0,0,0,0,0,7,0.01,0,0
18307,25,0,0,0,0,0,7,0.01,0,0
18308,26,0,0,0,0,0,7,0.01,0,0
18309,27,0,0,0,0,0,7,0.01,0,0
18310,28,0,0,0,0,0,7,0.01,0,0
18311,29,0,0,0,0,0,7,0.01,0,0
18312,30,0,0,0,0,0,7,0.01,0,0
18313,31,0,0,0,0,0,7,0.01,0,0
18314,32,0,0,0,0,0,7,0.01,0,0
18315,33,0,0,0,0,0,7,0.01,0,0
18316,34,0,0,0,0,0,7,0.01,0,0
18317,35,0,0,0,0,0,7,0.01,0,0
18318,36,Inf,0.142857142857143,1,0,0,7,0.01,0,0
18319,37,0.290994448735806,0.142857142857143,1,0,0,7,0.01,0,0
18320,38,0.0954451150103322,0.142857142857143,1,0,0,7,0.01,0,0
18321,39,0,0.142857142857143,0,0,0,7,0.01,0,0
18322,40,-0.0871290708247231,0.142857142857143,0,0,0,7,0.01,0,0
18323,41,-0.225403330758517,0.142857142857143,0,0,0,7,0.01,0,0
18324,42,-1,0.142857142857143,0,0,0,7,0.01,0,0
18325,43,Inf,0,0,0.142857142857143,0,7,0.01,0.0333333333333333,0
18326,44,0.290994448735806,0,0,0.25,0,7,0.01,0.0645161290322581,0
18327,45,0.414213562373095,0.285714285714286,1,0.333333333333333,0,7,0.01,0.09375,0
18328,46,0.179535649239177,0.285714285714286,1,0.4,0,8,0.01,0.121212121212121,0
18329,47,0.106797181058933,0.285714285714286,1,0.454545454545455,0,10,0.01,0.147058823529412,0
18330,48,0.0735652625161434,0.285714285714286,1,0.5,0,12,0.01,0.171428571428571,0
18331,49,0.992253037379653,0.857142857142857,1,0.538461538461538,0,14,0.01,0.194444444444444,0
18332,50,0.289316742440608,0.857142857142857,1,0.538461538461538,0,14,0.01,0.189189189189189,0
18333,51,0.14904851942814,0.857142857142857,1,0.538461538461539,0,14,0.01,0.184210526315789,0
18334,52,0.461538461538462,1.57142857142857,1,0.571428571428571,0,14,0.01,0.205128205128205,0
18335,53,0.192079121358539,1.57142857142857,1,0.6,0,14,0.01,0.225,0
18336,54,0.10377696422087,1.57142857142857,1,0.625,0,14,0.01,0.24390243902439,0
18337,55,0.186297504168762,2.14285714285714,1,0.647058823529412,0,15,0.01,0.261904761904762,0
18338,56,0.214191185564845,2.71428571428571,1,0.666666666666667,0,15,0.01,0.27906976744186,0
18339,57,0.347815674993651,4,1,0.684210526315789,0,15,0.01,0.295454545454545,0
18340,58,0.424822645157238,5.85714285714286,1,0.7,0,15,0.01,0.311111111111111,0
18341,59,0.351236693699759,7.57142857142857,1,0.714285714285714,0,15,0.01,0.326086956521739,0
