dates,Days,EVI,Cases,Index,pvs,pvn,lag_all,c_all,se_all,sp_all
18283,1,NA,0,NA,NA,NA,7,0.01,NA,NA
18284,2,NA,0,NA,NA,NA,7,0.01,NA,NA
18285,3,0,0,0,NA,NA,7,0.01,NA,NA
18286,4,0,0,0,NA,NA,7,0.01,NA,NA
18287,5,0,0,0,NA,NA,7,0.01,NA,NA
18288,6,0,0,0,NA,NA,7,0.01,NA,NA
18289,7,0,0,0,NA,NA,7,0.01,NA,NA
18290,8,0,0,0,NA,NA,7,0.01,NA,NA
18291,9,0,0,0,NA,NA,7,0.01,NA,NA
18292,10,0,0,0,NA,NA,7,0.01,NA,NA
18293,11,0,0,0,NA,NA,7,0.01,NA,NA
18294,12,0,0,0,NA,NA,7,0.01,NA,NA
18295,13,0,0,0,NA,NA,7,0.01,NA,NA
18296,14,0,0,0,NA,NA,7,0.01,NA,NA
18297,15,0,0,0,0,0,7,0.01,0,0
18298,16,0,0,0,0,0,7,0.01,0,0
18299,17,0,0,0,0,0,7,0.01,0,0
18300,18,0,0,0,0,0,7,0.01,0,0
18301,19,0,0,0,0,0,7,0.01,0,0
18302,20,0,0,0,0,0,7,0.01,0,0
18303,21,0,0,0,0,0,7,0.01,0,0
18304,22,0,0,0,0,0,7,0.01,0,0
18305,23,0,0,0,0,0,7,0.01,0,0
18306,24,0,0,0,0,0,7,0.01,0,0
18307,25,0,0,0,0,0,7,0.01,0,0
18308,26,0,0,0,0,0,7,0.01,0,0
18309,27,0,0,0,0,0,7,0.01,0,0
18310,28,0,0,0,0,0,7,0.01,0,0
18311,29,0,0,0,0,0,7,0.01,0,0
18312,30,0,0,0,0,0,7,0.01,0,0
18313,31,0,0,0,0,0,7,0.01,0,0
18314,32,0,0,0,0,0,7,0.01,0,0
18315,33,0,0,0,0,0,7,0.01,0,0
18316,34,0,0,0,0,0,7,0.01,0,0
18317,35,Inf,0.285714285714286,1,0,0,7,0.01,0,0
18318,36,0.290994448735806,0.285714285714286,1,0,0,7,0.01,0,0
18319,37,0.0954451150103322,0.285714285714286,1,0,0,7,0.01,0,0
18320,38,0.414213562373095,0.571428571428571,1,0,0,7,0.01,0,0
18321,39,0.0801234497346434,0.571428571428571,1,0,0,7,0.01,0,0
18322,40,-0.0741799002274485,0.571428571428571,0,0,0,7,0.01,0,0
18323,41,-0.17084380241115,0.714285714285714,0,0,0,7,0.01,0,0
18324,42,-0.0954659662667092,0.428571428571429,0,0.142857142857143,0,7,0.01,0.0344827586206897,0
18325,43,-0.13933703417613,0.428571428571429,0,0.25,0,7,0.01,0.0666666666666667,0
18326,44,-0.292893218813452,0.571428571428571,0,0.333333333333333,0,7,0.01,0.0967741935483871,0
18327,45,0.414213562373095,0.285714285714286,0,0.4,0,7,0.01,0.125,0
18328,46,0.140175425099138,0.285714285714286,0,0.454545454545455,0,7,0.01,0.151515151515152,0
18329,47,0.0377490433255415,0.285714285714286,0,1,0.2,7,0.01,0.151515151515152,1
18330,48,1.80305955290694,1.57142857142857,1,1,0.222222222222222,7,0.01,0.151515151515152,1
18331,49,0.532970971675589,2,1,1,0.216216216216216,7,0.01,0.147058823529412,1
18332,50,0.200419011307273,2.14285714285714,1,1,0.210526315789474,7,0.01,0.142857142857143,1
18333,51,0.331598423856122,3.14285714285714,1,1,0.205128205128205,7,0.01,0.138888888888889,1
18334,52,0.123016377216891,3.57142857142857,1,1,0.2,7,0.01,0.135135135135135,1
18335,53,0.602069489959866,6.71428571428571,1,1,0.195121951219512,7,0.01,0.131578947368421,1
18336,54,1.97369194423917,18.5714285714286,1,1,0.190476190476191,7,0.01,0.128205128205128,1
18337,55,0.852574467896751,31.4285714285714,1,1,0.19047619047619,7,0.01,0.15,1
18338,56,0.366398089228985,40,1,1,0.19047619047619,7,0.01,0.170731707317073,1
18339,57,0.441309897619129,62,1,1,0.190476190476191,7,0.01,0.19047619047619,1
18340,58,0.145738704890886,67.5714285714286,1,1,0.19047619047619,7,0.01,0.209302325581395,1
