dates,Days,EVI,Cases,Index,pvs,pvn,lag_all,c_all,se_all,sp_all
18283,1,NA,0,NA,NA,NA,7,0.01,NA,NA
18284,2,NA,0,NA,NA,NA,7,0.01,NA,NA
18285,3,0,0,0,NA,NA,7,0.01,NA,NA
18286,4,0,0,0,NA,NA,7,0.01,NA,NA
18287,5,0,0,0,NA,NA,7,0.01,NA,NA
18288,6,0,0,0,NA,NA,7,0.01,NA,NA
18289,7,0,0,0,NA,NA,7,0.01,NA,NA
18290,8,0,0,0,NA,NA,7,0.01,NA,NA
18291,9,0,0,0,NA,NA,7,0.01,NA,NA
18292,10,0,0,0,NA,NA,7,0.01,NA,NA
18293,11,0,0,0,NA,NA,7,0.01,NA,NA
18294,12,0,0,0,NA,NA,7,0.01,NA,NA
18295,13,0,0,0,NA,NA,7,0.01,NA,NA
18296,14,0,0,0,NA,NA,7,0.01,NA,NA
18297,15,0,0,0,0,0,7,0.01,0,0
18298,16,0,0,0,0,0,7,0.01,0,0
18299,17,0,0,0,0,0,7,0.01,0,0
18300,18,0,0,0,0,0,7,0.01,0,0
18301,19,0,0,0,0,0,7,0.01,0,0
18302,20,0,0,0,0,0,7,0.01,0,0
18303,21,0,0,0,0,0,7,0.01,0,0
18304,22,0,0,0,0,0,7,0.01,0,0
18305,23,0,0,0,0,0,7,0.01,0,0
18306,24,0,0,0,0,0,7,0.01,0,0
18307,25,0,0,0,0,0,7,0.01,0,0
18308,26,0,0,0,0,0,7,0.01,0,0
18309,27,0,0,0,0,0,7,0.01,0,0
18310,28,0,0,0,0,0,7,0.01,0,0
18311,29,0,0,0,0,0,7,0.01,0,0
18312,30,0,0,0,0,0,7,0.01,0,0
18313,31,0,0,0,0,0,7,0.01,0,0
18314,32,0,0,0,0,0,7,0.01,0,0
18315,33,0,0,0,0,0,7,0.01,0,0
18316,34,0,0,0,0,0,7,0.01,0,0
18317,35,0,0,0,0,0,7,0.01,0,0
18318,36,0,0,0,0,0,7,0.01,0,0
18319,37,0,0,0,0,0,7,0.01,0,0
18320,38,0,0,0,0,0,7,0.01,0,0
18321,39,0,0,0,0,0,7,0.01,0,0
18322,40,0,0,0,0,0,7,0.01,0,0
18323,41,0,0,0,0,0,7,0.01,0,0
18324,42,0,0,0,0,0,7,0.01,0,0
18325,43,0,0,0,0,0,7,0.01,0,0
18326,44,0,0,0,0,0,7,0.01,0,0
18327,45,Inf,0.142857142857143,1,0,0,7,0.01,0,0
18328,46,0.290994448735806,0.142857142857143,1,0,0,7,0.01,0,0
18329,47,3.49444101084885,0.857142857142857,1,0,0,7,0.01,0,0
18330,48,0.378763975091423,1,1,0,0,7,0.01,0,0
18331,49,0.425219281373922,1.57142857142857,1,0,0,7,0.01,0,0
18332,50,0.0942741418108615,1.57142857142857,1,0,0,7,0.01,0,0
18333,51,0.121141969054393,2.14285714285714,1,0,0,7,0.01,0,0
18334,52,0.568970842929378,3.85714285714286,1,0.142857142857143,0,7,0.01,0.0256410256410256,0
18335,53,0.386289763346205,5.28571428571429,1,0.25,0,7,0.01,0.05,0
18336,54,0.111047091341753,5.28571428571429,1,0.333333333333333,0,7,0.01,0.0731707317073171,0
18337,55,0.876278249623885,11.2857142857143,1,0.4,0,7,0.01,0.0952380952380952,0
18338,56,0.463368873091758,15.1428571428571,1,0.454545454545454,0,7,0.01,0.116279069767442,0
18339,57,0.279755543928332,19.1428571428571,1,0.5,0,7,0.01,0.136363636363636,0
18340,58,0.535967672922271,31.2857142857143,1,0.538461538461538,0,7,0.01,0.155555555555556,0
18341,59,0.0751554585790676,29.4285714285714,1,0.571428571428571,0,7,0.01,0.173913043478261,0
18342,60,0.16528607483305,40,1,0.6,0,7,0.01,0.191489361702128,0
18343,61,0.0415673016443224,45.7142857142857,1,0.625,0,7,0.01,0.208333333333333,0
18344,62,-0.0708161239370731,44.1428571428571,0,0.647058823529412,0,7,0.01,0.224489795918367,0
18345,63,-0.183058604187942,42.7142857142857,0,0.666666666666667,0,7,0.01,0.24,0
