dates,Days,EVI,Cases,Index,pvs,pvn,lag_all,c_all,se_all,sp_all
18283,1,NA,0,NA,NA,NA,7,0.01,NA,NA
18284,2,NA,0,NA,NA,NA,7,0.01,NA,NA
18285,3,0,0,0,NA,NA,7,0.01,NA,NA
18286,4,0,0,0,NA,NA,7,0.01,NA,NA
18287,5,0,0,0,NA,NA,7,0.01,NA,NA
18288,6,0,0,0,NA,NA,7,0.01,NA,NA
18289,7,0,0,0,NA,NA,7,0.01,NA,NA
18290,8,0,0,0,NA,NA,7,0.01,NA,NA
18291,9,Inf,0.142857142857143,1,NA,NA,7,0.01,NA,NA
18292,10,0.290994448735806,0.142857142857143,1,NA,NA,7,0.01,NA,NA
18293,11,0.0954451150103322,0.142857142857143,1,NA,NA,7,0.01,NA,NA
18294,12,0.414213562373095,0.285714285714286,1,NA,NA,7,0.01,NA,NA
18295,13,0.0801234497346434,0.285714285714286,1,NA,NA,7,0.01,NA,NA
18296,14,-0.0741799002274485,0.285714285714286,0,NA,NA,7,0.01,NA,NA
18297,15,-0.292893218813452,0.285714285714286,0,0,0,7,0.01,0,0
18298,16,0,0.142857142857143,0,0.142857142857143,0,7,0.01,0.333333333333333,0
18299,17,-0.0871290708247231,0.285714285714286,0,0.25,0,7,0.01,0.5,0
18300,18,-0.225403330758517,0.285714285714286,0,0.333333333333333,0,7,0.01,0.6,0
18301,19,0.290994448735806,0.142857142857143,0,0.4,0,7,0.01,0.666666666666667,0
18302,20,0.0954451150103322,0.142857142857143,0,0.454545454545455,0,7,0.01,0.714285714285714,0
18303,21,0,0.142857142857143,0,1,0.777777777777778,7,0.01,0.714285714285714,1
18304,22,-0.0871290708247231,0.142857142857143,0,1,0.8,7,0.01,0.714285714285714,1
18305,23,0,0.142857142857143,0,1,0.818181818181818,7,0.01,0.714285714285714,1
18306,24,0.183215956619923,0,0,1,0.833333333333333,7,0.01,0.714285714285714,1
18307,25,-0.154845745271483,0,0,1,0.846153846153846,7,0.01,0.714285714285714,1
18308,26,0.0954451150103322,0,0,1,0.857142857142857,7,0.01,0.714285714285714,1
18309,27,0,0,0,1,0.866666666666667,7,0.01,0.714285714285714,1
18310,28,-0.0871290708247231,0,0,1,0.875,7,0.01,0.714285714285714,1
18311,29,-0.225403330758517,0,0,1,0.882352941176471,7,0.01,0.714285714285714,1
18312,30,-1,0,0,1,0.888888888888889,7,0.01,0.714285714285714,1
18313,31,0,0,0,1,0.894736842105263,7,0.01,0.714285714285714,1
18314,32,0,0,0,1,0.9,7,0.01,0.714285714285714,1
18315,33,0,0,0,1,0.904761904761905,7,0.01,0.714285714285714,1
18316,34,0,0,0,1,0.909090909090909,7,0.01,0.714285714285714,1
18317,35,0,0,0,1,0.91304347826087,7,0.01,0.714285714285714,1
18318,36,0,0,0,1,0.916666666666667,7,0.01,0.714285714285714,1
18319,37,0,0,0,1,0.88,7,0.01,0.625,1
18320,38,0,0,0,1,0.846153846153846,7,0.01,0.555555555555556,1
18321,39,0,0,0,1,0.814814814814815,7,0.01,0.5,1
18322,40,0,0,0,1,0.785714285714286,7,0.01,0.454545454545455,1
18323,41,0,0,0,1,0.758620689655172,7,0.01,0.416666666666667,1
18324,42,0,0,0,1,0.733333333333333,7,0.01,0.384615384615385,1
18325,43,0,0,0,1,0.709677419354839,7,0.01,0.357142857142857,1
18326,44,0,0,0,1,0.6875,7,0.01,0.333333333333333,1
18327,45,Inf,0.285714285714286,1,1,0.666666666666667,7,0.01,0.3125,1
18328,46,0.6583123951777,0.428571428571429,1,1,0.647058823529412,7,0.01,0.294117647058824,1
18329,47,1.096172558245,1,1,1,0.628571428571429,7,0.01,0.277777777777778,1
18330,48,1.36059606733203,2.42857142857143,1,1,0.611111111111111,7,0.01,0.263157894736842,1
18331,49,0.806890003610766,4.28571428571429,1,1,0.594594594594595,7,0.01,0.25,1
18332,50,0.541933447537154,6.57142857142857,1,1,0.578947368421053,7,0.01,0.238095238095238,1
18333,51,0.152443057161611,7,1,1,0.564102564102564,7,0.01,0.227272727272727,1
