dates,Days,EVI,Cases,Index,pvs,pvn,lag_all,c_all,se_all,sp_all
18283,1,NA,0,NA,NA,NA,7,0.01,NA,NA
18284,2,NA,0,NA,NA,NA,7,0.01,NA,NA
18285,3,0,0,0,NA,NA,7,0.01,NA,NA
18286,4,0,0,0,NA,NA,7,0.01,NA,NA
18287,5,0,0,0,NA,NA,7,0.01,NA,NA
18288,6,0,0,0,NA,NA,7,0.01,NA,NA
18289,7,0,0,0,NA,NA,7,0.01,NA,NA
18290,8,0,0,0,NA,NA,7,0.01,NA,NA
18291,9,0,0,0,NA,NA,7,0.01,NA,NA
18292,10,0,0,0,NA,NA,7,0.01,NA,NA
18293,11,0,0,0,NA,NA,7,0.01,NA,NA
18294,12,0,0,0,NA,NA,7,0.01,NA,NA
18295,13,0,0,0,NA,NA,7,0.01,NA,NA
18296,14,0,0,0,NA,NA,7,0.01,NA,NA
18297,15,0,0,0,0,0,7,0.01,0,0
18298,16,0,0,0,0,0,7,0.01,0,0
18299,17,0,0,0,0,0,7,0.01,0,0
18300,18,0,0,0,0,0,7,0.01,0,0
18301,19,0,0,0,0,0,7,0.01,0,0
18302,20,0,0,0,0,0,7,0.01,0,0
18303,21,0,0,0,0,0,7,0.01,0,0
18304,22,0,0,0,0,0,7,0.01,0,0
18305,23,0,0,0,0,0,7,0.01,0,0
18306,24,0,0,0,0,0,7,0.01,0,0
18307,25,0,0,0,0,0,7,0.01,0,0
18308,26,0,0,0,0,0,7,0.01,0,0
18309,27,0,0,0,0,0,7,0.01,0,0
18310,28,0,0,0,0,0,7,0.01,0,0
18311,29,0,0,0,0,0,7,0.01,0,0
18312,30,0,0,0,0,0,7,0.01,0,0
18313,31,0,0,0,0,0,7,0.01,0,0
18314,32,0,0,0,0,0,7,0.01,0,0
18315,33,0,0,0,0,0,7,0.01,0,0
18316,34,0,0,0,0,0,7,0.01,0,0
18317,35,0,0,0,0,0,7,0.01,0,0
18318,36,0,0,0,0,0,7,0.01,0,0
18319,37,0,0,0,0,0,7,0.01,0,0
18320,38,0,0,0,0,0,7,0.01,0,0
18321,39,Inf,0.142857142857143,1,0,0,7,0.01,0,0
18322,40,2,0.428571428571429,1,0,0,7,0.01,0,0
18323,41,0.247219128924647,0.428571428571429,1,0,0,7,0.01,0,0
18324,42,0.825741858350554,1,1,0,0,7,0.01,0,0
18325,43,0.253566341056018,1.14285714285714,1,0,0,7,0.01,0,0
18326,44,0.0357254813546264,1.14285714285714,1,0,0,7,0.01,0,0
18327,45,-0.107469793513113,1.14285714285714,0,0,0,7,0.01,0,0
18328,46,-0.235077531393721,1,0,0.142857142857143,0,7,0.01,0.0303030303030303,0
18329,47,0.152073229995701,1.71428571428571,1,0.25,0,7,0.01,0.0588235294117647,0
18330,48,0.152721615693777,2.14285714285714,1,0.333333333333333,0,7,0.01,0.0857142857142857,0
18331,49,0.312116414246877,2.42857142857143,1,0.4,0,7,0.01,0.111111111111111,0
18332,50,22.0339504699367,36.2857142857143,1,0.454545454545455,0,7,0.01,0.135135135135135,0
18333,51,0.287096815071591,36.2857142857143,1,0.5,0,7,0.01,0.157894736842105,0
18334,52,0.231564556487537,44.5714285714286,1,0.538461538461539,0,9,0.01,0.179487179487179,0
18335,53,0.154374697209066,47,1,0.571428571428571,0,13,0.01,0.2,0
18336,54,0.139091785777369,55.1428571428571,1,0.6,0,13,0.01,0.219512195121951,0
18337,55,0.102397689206494,60.1428571428571,1,0.625,0,13,0.01,0.238095238095238,0
18338,56,0.0457624248535026,59.2857142857143,1,0.647058823529412,0,13,0.01,0.255813953488372,0
18339,57,-0.0472768832617276,27.1428571428571,0,0.666666666666667,0,13,0.01,0.272727272727273,0
18340,58,-0.0606569418269393,28.2857142857143,0,0.684210526315789,0,13,0.01,0.288888888888889,0
18341,59,-0.0703255301274313,21.4285714285714,0,0.7,0,13,0.01,0.304347826086957,0
18342,60,-0.0813867515692056,20.5714285714286,0,0.714285714285714,0,13,0.01,0.319148936170213,0
