dates,Days,EVI,Cases,Index,pvs,pvn,lag_all,c_all,se_all,sp_all
18283,1,NA,0,NA,NA,NA,7,0.01,NA,NA
18284,2,NA,0.5,NA,NA,NA,7,0.01,NA,NA
18285,3,0.414213562373095,1,1,NA,NA,7,0.01,NA,NA
18286,4,-0.146087436170034,0.75,0,NA,NA,7,0.01,NA,NA
18287,5,-0.0989529899690503,0.8,0,NA,NA,7,0.01,NA,NA
18288,6,-0.0747061717115646,0.833333333333333,0,NA,NA,7,0.01,NA,NA
18289,7,-0.0132671939348173,1,0,NA,NA,7,0.01,NA,NA
18290,8,-0.477431190961303,1,0,NA,NA,7,0.01,NA,NA
18291,9,-0.0146502343242319,1.28571428571429,0,NA,NA,7,0.01,NA,NA
18292,10,0.417265161758334,1.42857142857143,1,NA,NA,7,0.01,NA,NA
18293,11,0.477360343050153,1.85714285714286,1,NA,NA,7,0.01,NA,NA
18294,12,0.18176794748972,2,1,NA,NA,7,0.01,NA,NA
18295,13,-0.0628311340965479,1.85714285714286,0,NA,NA,7,0.01,NA,NA
18296,14,0.153902817704846,2.42857142857143,1,NA,NA,7,0.01,NA,NA
18297,15,0.210260422577072,3,1,0,0,7,0.01,0,0
18298,16,-0.0285032810964528,2.57142857142857,0,0.142857142857143,0,9,0.01,0.333333333333333,0
18299,17,-0.0715599180845085,2.42857142857143,0,0.25,0,10,0.01,0.5,0
18300,18,-0.0825760703651411,2.42857142857143,0,0.333333333333333,0,11,0.01,0.6,0
18301,19,0.0187700710153081,3.14285714285714,1,0.4,0,12,0.01,0.666666666666667,0
18302,20,0.126938159698219,3.85714285714286,1,0.454545454545455,0,13,0.01,0.714285714285714,0
18303,21,-0.0607147687165113,3.28571428571429,0,0.5,0,13,0.01,0.75,0
18304,22,-0.0816463132453249,3.14285714285714,0,0.538461538461538,0,13,0.01,0.777777777777778,0
18305,23,0.0843542667524187,4.28571428571429,1,0.571428571428571,0,13,0.01,0.8,0
18306,24,0.216612110585913,5.28571428571429,1,0.6,0,14,0.01,0.818181818181818,0
18307,25,0.167875540842803,5.57142857142857,1,0.6,0,14,0.01,0.75,0
18308,26,0.0274601379480693,5,1,0.625,0,14,0.01,0.769230769230769,0
18309,27,-0.051342320228471,4.57142857142857,0,0.647058823529412,0,14,0.01,0.785714285714286,0
18310,28,-0.00881162920290509,4.85714285714286,0,0.666666666666667,0,21,0.01,0.8,0
18311,29,-0.0157615060054895,4.85714285714286,0,0.684210526315789,0,22,0.01,0.8125,0
18312,30,-0.0607871916442032,3.71428571428571,0,0.7,0,22,0.01,0.823529411764706,0
18313,31,-0.0513841015657874,2.57142857142857,0,0.714285714285714,0,22,0.01,0.833333333333333,0
18314,32,0.258338044464341,1.85714285714286,0,1,0.4375,7,0.09,0.5,1
18315,33,0.0627276313732925,2,0,1,0.470588235294118,7,0.09,0.5,1
18316,34,0.0374861556599365,1.71428571428571,0,1,0.5,7,0.09,0.5,1
18317,35,-0.0958226136028553,1.42857142857143,0,1,0.526315789473684,7,0.09,0.5,1
18318,36,0.0605957460196715,1.28571428571429,0,0.855263157894737,0.63768115942029,18,0.01,0.722222222222222,0.8
18319,37,0.0639630134379063,1.28571428571429,0,0.866666666666667,0.666666666666667,18,0.01,0.722222222222222,0.833333333333333
18320,38,0.0544872648626255,1.14285714285714,0,0.875,0.690265486725664,18,0.01,0.722222222222222,0.857142857142857
18321,39,0.00668744017428212,2.42857142857143,0,0.88135593220339,0.710144927536232,18,0.01,0.722222222222222,0.875
18322,40,0.00595948929446154,2.42857142857143,0,0.886363636363636,0.727272727272727,18,0.01,0.722222222222222,0.888888888888889
18323,41,0.00223321047483189,2.71428571428571,0,0.824175824175824,0.810126582278481,22,0.01,0.833333333333333,0.8
18324,42,-0.00418858780402501,2.71428571428571,0,0.829145728643216,0.82258064516129,22,0.01,0.833333333333333,0.818181818181818
18325,43,0.00429015029474979,2.42857142857143,0,0.833333333333333,0.833333333333333,22,0.01,0.833333333333333,0.833333333333333
18326,44,0.00141989171763503,3.42857142857143,0,0.833333333333333,0.789473684210526,22,0.01,0.789473684210526,0.833333333333333
18327,45,0.0372994980129498,5.28571428571429,1,0.833333333333333,0.75,22,0.01,0.75,0.833333333333333
18328,46,-0.00628426964759877,5.14285714285714,0,0.833333333333333,0.714285714285714,22,0.01,0.714285714285714,0.833333333333333
18329,47,0.0414506505699673,6.28571428571429,1,0.833333333333333,0.681818181818182,22,0.01,0.681818181818182,0.833333333333333
18330,48,0.0277774713488542,6,0,1,0.620689655172414,7,0.09,0.521739130434783,1
18331,49,0.0410804635976505,7.14285714285714,0,1,0.6,7,0.09,0.5,1
18332,50,0.183215956619923,9.71428571428571,1,1,0.580645161290323,7,0.09,0.48,1
18333,51,-0.109653389496689,8.71428571428571,0,1,0.5625,7,0.09,0.461538461538462,1
18334,52,0.100915134910779,10,1,1,0.5625,7,0.09,0.481481481481481,1
18335,53,-0.0255041331333653,10.5714285714286,0,1,0.5625,7,0.09,0.5,1
18336,54,-0.0225826463447936,10.8571428571429,0,1,0.5625,7,0.09,0.517241379310345,1
18337,55,0.0437409962770352,13.2857142857143,1,0.923076923076923,0.578947368421053,7,0.01,0.6,0.916666666666667
18338,56,0.179174798158651,15.1428571428571,1,0.926829268292683,0.578947368421053,7,0.01,0.612903225806452,0.916666666666667
18339,57,0.633071896368256,19.2857142857143,1,0.930232558139535,0.578947368421053,7,0.01,0.625,0.916666666666667
18340,58,0.412985768569904,23.8571428571429,1,0.930232558139535,0.559322033898305,7,0.01,0.606060606060606,0.916666666666667
18341,59,0.214439112815706,26.4285714285714,1,0.933333333333333,0.559322033898305,7,0.01,0.617647058823529,0.916666666666667
18342,60,0.188796618503453,31.4285714285714,1,0.936170212765957,0.559322033898305,18,0.01,0.628571428571429,0.916666666666667
18343,61,0.117641194424531,32.7142857142857,1,0.938775510204082,0.559322033898305,18,0.01,0.638888888888889,0.916666666666667
18344,62,0.136426440909504,38,1,0.941176470588235,0.559322033898305,18,0.01,0.648648648648649,0.916666666666667
18345,63,0.126669253131277,41.7142857142857,1,0.943396226415094,0.559322033898305,18,0.01,0.657894736842105,0.916666666666667
18346,64,0.105898771857941,45.4285714285714,1,0.945454545454545,0.559322033898305,18,0.01,0.666666666666667,0.916666666666667
18347,65,0.0871386235025072,48.2857142857143,1,0.947368421052632,0.559322033898305,18,0.01,0.675,0.916666666666667
18348,66,0.0545854002664718,49.5714285714286,1,0.949152542372881,0.559322033898305,18,0.01,0.682926829268293,0.916666666666667
18349,67,0.0485486513602661,52.8571428571429,1,0.950819672131147,0.559322033898305,18,0.01,0.69047619047619,0.916666666666667
18350,68,0.0454190660984462,55.5714285714286,1,0.952380952380952,0.559322033898305,18,0.01,0.697674418604651,0.916666666666667
18351,69,-0.000875734975958242,52.8571428571429,0,0.953846153846154,0.559322033898305,18,0.01,0.704545454545455,0.916666666666667
18352,70,-0.0187061784375967,52.5714285714286,0,0.955223880597015,0.559322033898305,18,0.01,0.711111111111111,0.916666666666667
18353,71,-0.0388170389821465,52.7142857142857,0,0.956521739130435,0.559322033898305,18,0.01,0.717391304347826,0.916666666666667
18354,72,-0.0669990601410663,52.2857142857143,0,0.957746478873239,0.559322033898305,18,0.01,0.723404255319149,0.916666666666667
18355,73,-0.0763566221017403,54.5714285714286,0,0.958904109589041,0.559322033898305,18,0.01,0.729166666666667,0.916666666666667
18356,74,-0.101793674009313,55.2857142857143,0,0.96,0.559322033898305,18,0.01,0.73469387755102,0.916666666666667
18357,75,0.00145128500209046,66.4285714285714,0,0.958785249457701,0.539007092198582,15,0.03,0.693877551020408,0.923076923076923
18358,76,0.0187620104864577,70.8571428571429,0,0.959677419354839,0.553191489361702,15,0.03,0.693877551020408,0.928571428571429
18359,77,0.184583073803376,79.2857142857143,1,0.959677419354839,0.537190082644628,15,0.03,0.68,0.928571428571429
18360,78,0.262710668635509,89,1,0.959677419354839,0.522088353413655,15,0.03,0.666666666666667,0.928571428571429
18361,79,0.636441089560669,123,1,0.959677419354839,0.5078125,15,0.03,0.653846153846154,0.928571428571429
18362,80,0.388459620496494,142,1,0.959677419354839,0.494296577946768,15,0.03,0.641509433962264,0.928571428571429
18363,81,0.265964928611731,158.571428571429,1,0.959677419354839,0.481481481481482,15,0.03,0.62962962962963,0.928571428571429
18364,82,0.191599495789032,174.714285714286,1,0.959677419354839,0.469314079422383,13,0.02,0.618181818181818,0.928571428571429
18365,83,0.254391505502204,220.428571428571,1,0.96078431372549,0.469314079422383,13,0.02,0.625,0.928571428571429
18366,84,0.207813803865371,253,1,0.961832061068702,0.469314079422383,13,0.02,0.631578947368421,0.928571428571429
18367,85,0.193447453222245,296.571428571429,1,0.962825278810409,0.469314079422383,13,0.02,0.637931034482759,0.928571428571429
18368,86,0.209893539736513,359.571428571429,1,0.963768115942029,0.469314079422383,13,0.02,0.644067796610169,0.928571428571429
18369,87,0.188047916296573,420.285714285714,1,0.964664310954064,0.469314079422383,13,0.02,0.65,0.928571428571429
18370,88,0.236331225680176,527.571428571429,1,0.96551724137931,0.469314079422383,13,0.02,0.655737704918033,0.928571428571429
18371,89,0.158779043460884,579.428571428571,1,0.966329966329966,0.469314079422383,13,0.02,0.661290322580645,0.928571428571429
18372,90,0.208981711118366,728,1,0.967105263157895,0.469314079422383,13,0.02,0.666666666666667,0.928571428571429
18373,91,0.1772489287533,839,1,0.967845659163987,0.469314079422383,13,0.02,0.671875,0.928571428571429
18374,92,0.136430826488017,920.285714285714,1,0.968553459119497,0.469314079422383,13,0.02,0.676923076923077,0.928571428571429
18375,93,0.0831534518096876,964.428571428571,1,0.969230769230769,0.469314079422383,13,0.02,0.681818181818182,0.928571428571429
18376,94,0.0440734645970976,1003.57142857143,1,0.969879518072289,0.469314079422383,13,0.02,0.686567164179104,0.928571428571429
18377,95,-0.0179276726697389,957.285714285714,0,0.970501474926254,0.469314079422383,13,0.02,0.691176470588235,0.928571428571429
18378,96,-0.0290150396784761,1005.14285714286,0,0.971098265895954,0.469314079422383,13,0.02,0.695652173913043,0.928571428571429
18379,97,-0.0858291345895341,915.571428571429,0,0.971671388101983,0.469314079422383,13,0.02,0.7,0.928571428571429
18380,98,-0.1309012687789,832.285714285714,0,0.972222222222222,0.469314079422383,13,0.02,0.704225352112676,0.928571428571429
18381,99,-0.161587596117381,785.714285714286,0,0.97275204359673,0.469314079422383,13,0.02,0.708333333333333,0.928571428571429
18382,100,-0.184705274757215,713,0,0.973262032085562,0.469314079422383,13,0.02,0.712328767123288,0.928571428571429
18383,101,0.157581175747727,718,0,0.972222222222222,0.44954128440367,9,0.01,0.671232876712329,0.933333333333333
18384,102,0.0782369099884647,693.571428571429,0,0.972704714640198,0.46218487394958,9,0.01,0.671232876712329,0.9375
18385,103,-0.00345625752416839,654.428571428571,0,0.973130841121495,0.474226804123711,9,0.01,0.671232876712329,0.941176470588235
18386,104,0,622.142857142857,0,0.973509933774835,0.485714285714286,9,0.01,0.671232876712329,0.944444444444444
18387,105,-0.22951592515343,637,0,0.973849372384937,0.496688741721854,9,0.01,0.671232876712329,0.947368421052632
18388,106,-0.27441501407076,651,0,0.974155069582505,0.507186858316222,9,0.01,0.671232876712329,0.95
18389,107,-0.284118688540193,681.428571428571,0,0.974431818181818,0.517241379310345,9,0.01,0.671232876712329,0.952380952380952
18390,108,-0.33769856794529,658,0,0.974683544303797,0.526881720430108,9,0.01,0.671232876712329,0.954545454545455
18391,109,-0.049224024599625,701.714285714286,0,0.974913494809689,0.536134453781512,9,0.01,0.671232876712329,0.956521739130435
18392,110,0.0988982937456044,733,1,0.975124378109453,0.545023696682464,9,0.01,0.671232876712329,0.958333333333333
18393,111,-0.242572371985313,720.571428571429,0,0.954478707782673,0.575928917609047,13,0.02,0.712328767123288,0.92
18394,112,-0.117442052597596,751.571428571429,0,0.954802259887006,0.584474885844749,13,0.02,0.712328767123288,0.923076923076923
18395,113,0.0411265303611167,735.428571428571,1,0.955102040816327,0.592672413793103,13,0.02,0.712328767123288,0.925925925925926
18396,114,0.0337736976665054,737,1,0.955380577427822,0.60054347826087,13,0.02,0.712328767123288,0.928571428571429
18397,115,0.0508619364078646,740.571428571429,1,0.955640050697085,0.608108108108108,13,0.02,0.712328767123288,0.931034482758621
18398,116,-0.035253967015196,699.428571428571,0,0.955882352941177,0.615384615384615,13,0.02,0.712328767123288,0.933333333333333
18399,117,-0.121101252899361,671.714285714286,0,0.956109134045077,0.622389791183295,13,0.02,0.712328767123288,0.935483870967742
18400,118,-0.0306624445927619,645.857142857143,0,0.95632183908046,0.629139072847682,13,0.02,0.712328767123288,0.9375
18401,119,0.262696237922838,589,0,0.956521739130435,0.635646687697161,13,0.02,0.712328767123288,0.939393939393939
18402,120,0.109858504093721,574,0,0.956709956709957,0.641925777331996,16,0.03,0.712328767123288,0.941176470588235
18403,121,0.208931670469554,530.571428571429,0,0.956887486855941,0.647988505747126,16,0.03,0.712328767123288,0.942857142857143
18404,122,0.19318300410375,505,0,0.957055214723926,0.653846153846154,16,0.03,0.712328767123288,0.944444444444444
18405,123,0.0890410521812918,530.285714285714,0,0.957213930348259,0.659509202453988,16,0.03,0.712328767123288,0.945945945945946
18406,124,0.0884059995181818,511.142857142857,0,0.957364341085271,0.664987405541562,16,0.03,0.712328767123288,0.947368421052632
18407,125,0.0469396414961591,516.714285714286,0,0.957507082152975,0.670289855072464,16,0.03,0.712328767123288,0.948717948717949
18408,126,0.0157180503271519,507,0,0.957642725598527,0.675425038639876,16,0.03,0.712328767123288,0.95
18409,127,0.00728798147459551,501.714285714286,0,0.957771787960467,0.680400890868597,16,0.03,0.712328767123288,0.951219512195122
18410,128,-0.0362283807352641,491,0,0.957894736842105,0.685224839400428,16,0.03,0.712328767123288,0.952380952380952
18411,129,-0.0506186194231829,490.571428571429,0,0.958011996572408,0.689903846153846,16,0.03,0.712328767123288,0.953488372093023
18412,130,-0.0774954245062774,471.142857142857,0,0.958123953098828,0.694444444444444,16,0.03,0.712328767123288,0.954545454545455
18413,131,-0.143128060665758,466.857142857143,0,0.958230958230958,0.698852772466539,16,0.03,0.712328767123288,0.955555555555556
18414,132,-0.159046366573317,476,0,0.958333333333333,0.703134603564843,16,0.03,0.712328767123288,0.956521739130435
18415,133,-0.21460893503278,499,0,0.95843137254902,0.70729537366548,16,0.03,0.712328767123288,0.957446808510638
18416,134,-0.296598497654083,504.142857142857,0,0.95852534562212,0.711340206185567,16,0.03,0.712328767123288,0.958333333333333
18417,135,-0.208364286734182,524.714285714286,0,0.958615500376223,0.715273934698395,16,0.03,0.712328767123288,0.959183673469388
