dates,Days,EVI,Cases,Index,pvs,pvn,lag_all,c_all,se_all,sp_all
18283,1,NA,0,NA,NA,NA,7,0.01,NA,NA
18284,2,NA,0,NA,NA,NA,7,0.01,NA,NA
18285,3,0,0,0,NA,NA,7,0.01,NA,NA
18286,4,0,0,0,NA,NA,7,0.01,NA,NA
18287,5,0,0,0,NA,NA,7,0.01,NA,NA
18288,6,0,0,0,NA,NA,7,0.01,NA,NA
18289,7,0,0,0,NA,NA,7,0.01,NA,NA
18290,8,0,0,0,NA,NA,7,0.01,NA,NA
18291,9,0,0,0,NA,NA,7,0.01,NA,NA
18292,10,0,0,0,NA,NA,7,0.01,NA,NA
18293,11,0,0,0,NA,NA,7,0.01,NA,NA
18294,12,0,0,0,NA,NA,7,0.01,NA,NA
18295,13,0,0,0,NA,NA,7,0.01,NA,NA
18296,14,0,0,0,NA,NA,7,0.01,NA,NA
18297,15,0,0,0,0,0,7,0.01,0,0
18298,16,0,0,0,0,0,7,0.01,0,0
18299,17,0,0,0,0,0,7,0.01,0,0
18300,18,0,0,0,0,0,7,0.01,0,0
18301,19,0,0,0,0,0,7,0.01,0,0
18302,20,0,0,0,0,0,7,0.01,0,0
18303,21,0,0,0,0,0,7,0.01,0,0
18304,22,0,0,0,0,0,7,0.01,0,0
18305,23,0,0,0,0,0,7,0.01,0,0
18306,24,0,0,0,0,0,7,0.01,0,0
18307,25,0,0,0,0,0,7,0.01,0,0
18308,26,0,0,0,0,0,7,0.01,0,0
18309,27,0,0,0,0,0,7,0.01,0,0
18310,28,0,0,0,0,0,7,0.01,0,0
18311,29,0,0,0,0,0,7,0.01,0,0
18312,30,0,0,0,0,0,7,0.01,0,0
18313,31,0,0,0,0,0,7,0.01,0,0
18314,32,0,0,0,0,0,7,0.01,0,0
18315,33,0,0,0,0,0,7,0.01,0,0
18316,34,0,0,0,0,0,7,0.01,0,0
18317,35,0,0,0,0,0,7,0.01,0,0
18318,36,0,0,0,0,0,7,0.01,0,0
18319,37,0,0,0,0,0,7,0.01,0,0
18320,38,0,0,0,0,0,7,0.01,0,0
18321,39,0,0,0,0,0,7,0.01,0,0
18322,40,0,0,0,0,0,7,0.01,0,0
18323,41,0,0,0,0,0,7,0.01,0,0
18324,42,0,0,0,0,0,7,0.01,0,0
18325,43,0,0,0,0,0,7,0.01,0,0
18326,44,Inf,0.285714285714286,1,0,0,7,0.01,0,0
18327,45,2.47610893576904,1,1,0,0,7,0.01,0,0
18328,46,0.256706148957498,1,1,0,0,7,0.01,0,0
18329,47,0.798835139822993,2.28571428571429,1,0,0,7,0.01,0,0
18330,48,0.159947879139915,2.28571428571429,1,0,0,7,0.01,0,0
18331,49,0.548934341015892,4.42857142857143,1,0,0,7,0.01,0,0
18332,50,0.786703022974913,8.14285714285714,1,0,0,7,0.01,0,0
18333,51,0.574956242584386,12.4285714285714,1,0.142857142857143,0,7,0.01,0.0263157894736842,0
18334,52,0.549629492939282,19.1428571428571,1,0.25,0,7,0.01,0.0512820512820513,0
18335,53,0.319722470644911,24.8571428571429,1,0.333333333333333,0,7,0.01,0.075,0
18336,54,0.171738362206786,29,1,0.4,0,7,0.01,0.0975609756097561,0
18337,55,0.0716017589984473,33.8571428571429,1,0.454545454545455,0,7,0.01,0.119047619047619,0
18338,56,-0.0588635338131134,34.8571428571429,0,0.5,0,7,0.01,0.13953488372093,0
18339,57,-0.206060414941679,31.1428571428571,0,0.538461538461538,0,7,0.01,0.159090909090909,0
18340,58,-0.340252738778502,28.1428571428571,0,0.571428571428571,0,7,0.01,0.177777777777778,0
18341,59,-0.359130055538344,28.5714285714286,0,0.6,0,7,0.01,0.195652173913043,0
18342,60,-0.215197292571134,28.8571428571429,0,0.625,0,7,0.01,0.212765957446809,0
18343,61,0.0527875153551295,27.8571428571429,0,0.647058823529412,0,7,0.01,0.229166666666667,0
18344,62,-0.0640989938556546,27,0,0.666666666666667,0,7,0.01,0.244897959183673,0
18345,63,-0.00371776140186135,29.2857142857143,0,0.68421052631579,0,9,0.01,0.26,0
