dates,Days,EVI,Cases,Index,pvs,pvn,lag_all,c_all,se_all,sp_all
18283,1,NA,0,NA,NA,NA,7,0.01,NA,NA
18284,2,NA,0,NA,NA,NA,7,0.01,NA,NA
18285,3,0,0,0,NA,NA,7,0.01,NA,NA
18286,4,0,0,0,NA,NA,7,0.01,NA,NA
18287,5,0,0,0,NA,NA,7,0.01,NA,NA
18288,6,0,0,0,NA,NA,7,0.01,NA,NA
18289,7,0,0,0,NA,NA,7,0.01,NA,NA
18290,8,0,0,0,NA,NA,7,0.01,NA,NA
18291,9,0,0,0,NA,NA,7,0.01,NA,NA
18292,10,0,0,0,NA,NA,7,0.01,NA,NA
18293,11,Inf,0.142857142857143,1,NA,NA,7,0.01,NA,NA
18294,12,0.290994448735806,0.142857142857143,1,NA,NA,7,0.01,NA,NA
18295,13,0.0954451150103322,0.142857142857143,1,NA,NA,7,0.01,NA,NA
18296,14,0,0.142857142857143,0,NA,NA,7,0.01,NA,NA
18297,15,-0.0871290708247231,0.142857142857143,0,0,0,7,0.01,0,0
18298,16,-0.225403330758517,0.142857142857143,0,0,0,7,0.01,0,0
18299,17,-1,0.142857142857143,0,0,0,7,0.01,0,0
18300,18,Inf,0,0,0.142857142857143,0,7,0.01,0.2,0
18301,19,0,0.142857142857143,0,0.25,0,7,0.01,0.333333333333333,0
18302,20,0,0.142857142857143,0,0.333333333333333,0,7,0.01,0.428571428571429,0
18303,21,0,0.142857142857143,0,0.4,0,8,0.01,0.5,0
18304,22,0,0.142857142857143,0,0.454545454545454,0,10,0.01,0.555555555555556,0
18305,23,0,0.142857142857143,0,1,0.636363636363636,10,0.01,0.555555555555556,1
18306,24,0,0.142857142857143,0,1,0.666666666666667,10,0.01,0.555555555555556,1
18307,25,0,0.142857142857143,0,1,0.692307692307692,10,0.01,0.555555555555556,1
18308,26,0.333333333333333,0,0,1,0.714285714285714,10,0.01,0.555555555555556,1
18309,27,0.14564392373896,0,0,1,0.733333333333333,10,0.01,0.555555555555556,1
18310,28,0,0,0,1,0.75,10,0.01,0.555555555555556,1
18311,29,0.0690449676496974,0,0,1,0.764705882352941,10,0.01,0.555555555555556,1
18312,30,0.0206207261596575,0,0,1,0.777777777777778,10,0.01,0.555555555555556,1
18313,31,-0.0202041028867287,0,0,1,0.789473684210526,10,0.01,0.555555555555556,1
18314,32,-0.0645856533065145,0,0,1,0.8,10,0.01,0.555555555555556,1
18315,33,-0.12712843905603,0,0,1,0.80952380952381,10,0.01,0.555555555555556,1
18316,34,-0.25,0,0,1,0.818181818181818,10,0.01,0.555555555555556,1
18317,35,3,0.571428571428571,1,1,0.826086956521739,10,0.01,0.555555555555556,1
18318,36,1.81982071928144,1.57142857142857,1,1,0.791666666666667,10,0.01,0.5,1
18319,37,0.409884011457748,1.85714285714286,1,1,0.76,10,0.01,0.454545454545455,1
18320,38,0.954670851341116,4.28571428571429,1,1,0.730769230769231,10,0.01,0.416666666666667,1
18321,39,0.529719385490053,6.14285714285714,1,1,0.703703703703704,10,0.01,0.384615384615385,1
18322,40,0.777613450069006,11.7142857142857,1,1,0.678571428571429,10,0.01,0.357142857142857,1
18323,41,0.509053665935168,16.8571428571429,1,1,0.655172413793103,10,0.01,0.333333333333333,1
18324,42,0.378466556824207,22.7142857142857,1,1,0.655172413793104,10,0.01,0.375,1
18325,43,0.312194815144637,29.8571428571429,1,1,0.655172413793103,10,0.01,0.411764705882353,1
18326,44,0.198740735268514,34.8571428571429,1,1,0.655172413793103,10,0.01,0.444444444444444,1
18327,45,0.344975171287204,52.5714285714286,1,1,0.655172413793103,10,0.01,0.473684210526316,1
18328,46,0.261959365348724,65,1,1,0.655172413793104,10,0.01,0.5,1
18329,47,0.25755086308048,84.1428571428571,1,1,0.655172413793103,10,0.01,0.523809523809524,1
18330,48,0.506399959169838,136.142857142857,1,1,0.655172413793103,10,0.01,0.545454545454545,1
18331,49,0.621805307016287,218.571428571429,1,1,0.655172413793103,10,0.01,0.565217391304348,1
