dates,Days,EVI,Cases,Index,pvs,pvn,lag_all,c_all,se_all,sp_all
18283,1,NA,0,NA,NA,NA,7,0.01,NA,NA
18284,2,NA,0,NA,NA,NA,7,0.01,NA,NA
18285,3,0,0,0,NA,NA,7,0.01,NA,NA
18286,4,0,0,0,NA,NA,7,0.01,NA,NA
18287,5,0,0,0,NA,NA,7,0.01,NA,NA
18288,6,Inf,0.166666666666667,1,NA,NA,7,0.01,NA,NA
18289,7,0.114442689100085,0.142857142857143,1,NA,NA,7,0.01,NA,NA
18290,8,0.068103492374468,0.142857142857143,1,NA,NA,7,0.01,NA,NA
18291,9,-0.0124228425204902,0.142857142857143,0,NA,NA,7,0.01,NA,NA
18292,10,-0.0929251353242213,0.142857142857143,0,NA,NA,7,0.01,NA,NA
18293,11,-0.225403330758517,0.142857142857143,0,NA,NA,7,0.01,NA,NA
18294,12,-0.839871846194913,0.142857142857143,0,NA,NA,7,0.01,NA,NA
18295,13,5,0,0,NA,NA,7,0.01,NA,NA
18296,14,0.290994448735806,0,0,NA,NA,7,0.01,NA,NA
18297,15,0.0954451150103322,0,0,0.25,NA,7,0.01,1,0
18298,16,0,0,0,1,1,7,0.01,1,1
18299,17,-0.0871290708247231,0,0,1,1,7,0.01,1,1
18300,18,-0.225403330758517,0,0,1,1,7,0.01,1,1
18301,19,-1,0,0,1,1,7,0.01,1,1
18302,20,0,0,0,1,1,7,0.01,1,1
18303,21,0,0,0,1,1,7,0.01,1,1
18304,22,0,0,0,1,1,7,0.01,1,1
18305,23,0,0,0,1,1,7,0.01,1,1
18306,24,0,0,0,1,1,7,0.01,1,1
18307,25,0,0,0,1,1,7,0.01,1,1
18308,26,0,0,0,1,0.941176470588235,7,0.01,0.666666666666667,1
18309,27,0,0,0,1,0.888888888888889,7,0.01,0.5,1
18310,28,0,0,0,1,0.842105263157895,7,0.01,0.4,1
18311,29,0,0,0,1,0.8,7,0.01,0.333333333333333,1
18312,30,0,0,0,1,0.761904761904762,7,0.01,0.285714285714286,1
18313,31,0,0,0,1,0.727272727272727,7,0.01,0.25,1
18314,32,0,0,0,1,0.695652173913044,7,0.01,0.222222222222222,1
18315,33,0,0,0,1,0.666666666666667,7,0.01,0.2,1
18316,34,0,0,0,1,0.64,7,0.01,0.181818181818182,1
18317,35,0,0,0,1,0.615384615384615,7,0.01,0.166666666666667,1
18318,36,0,0,0,1,0.592592592592593,7,0.01,0.153846153846154,1
18319,37,0,0,0,1,0.571428571428571,7,0.01,0.142857142857143,1
18320,38,0,0,0,1,0.551724137931034,7,0.01,0.133333333333333,1
18321,39,0,0,0,1,0.533333333333333,7,0.01,0.125,1
18322,40,0,0,0,1,0.516129032258065,7,0.01,0.117647058823529,1
18323,41,0,0,0,1,0.5,7,0.01,0.111111111111111,1
18324,42,0,0,0,1,0.484848484848485,7,0.01,0.105263157894737,1
18325,43,0,0,0,1,0.470588235294118,7,0.01,0.1,1
18326,44,0,0,0,1,0.457142857142857,7,0.01,0.0952380952380952,1
18327,45,0,0,0,1,0.444444444444444,7,0.01,0.0909090909090909,1
18328,46,0,0,0,1,0.432432432432432,7,0.01,0.0869565217391304,1
18329,47,0,0,0,1,0.421052631578947,7,0.01,0.0833333333333333,1
18330,48,0,0,0,1,0.41025641025641,7,0.01,0.08,1
18331,49,0,0,0,1,0.4,7,0.01,0.0769230769230769,1
18332,50,Inf,0.142857142857143,1,1,0.390243902439024,7,0.01,0.0740740740740741,1
18333,51,0.290994448735806,0.142857142857143,1,1,0.380952380952381,7,0.01,0.0714285714285714,1
18334,52,2.74165738677394,0.714285714285714,1,1,0.372093023255814,7,0.01,0.0689655172413793,1
18335,53,0.889822365046136,1.28571428571429,1,1,0.363636363636364,7,0.01,0.0666666666666667,1
18336,54,0.838477631085023,2.42857142857143,1,1,0.355555555555556,7,0.01,0.0645161290322581,1
18337,55,0.591768767959369,3.85714285714286,1,1,0.347826086956522,7,0.01,0.0625,1
18338,56,0.544603841623222,6.14285714285714,1,1,0.340425531914894,7,0.01,0.0606060606060606,1
