dates,Days,EVI,Cases,Index,pvs,pvn,lag_all,c_all,se_all,sp_all
18283,1,NA,4,NA,NA,NA,7,0.01,NA,NA
18284,2,NA,2,NA,NA,NA,7,0.01,NA,NA
18285,3,-0.107645644210611,1.66666666666667,0,NA,NA,7,0.01,NA,NA
18286,4,-0.0826288823808215,1.5,0,NA,NA,7,0.01,NA,NA
18287,5,-0.0936950838507664,1.6,0,NA,NA,7,0.01,NA,NA
18288,6,-0.0503703205679938,1.33333333333333,0,NA,NA,7,0.01,NA,NA
18289,7,-0.0871071779480055,2,0,NA,NA,7,0.01,NA,NA
18290,8,-0.709293201113882,1.42857142857143,0,NA,NA,7,0.01,NA,NA
18291,9,-0.160153682246671,1.42857142857143,0,NA,NA,7,0.01,NA,NA
18292,10,0.245076569340664,2,1,NA,NA,7,0.01,NA,NA
18293,11,0.0307751218413873,1.85714285714286,1,NA,NA,7,0.01,NA,NA
18294,12,0.00445649191678412,1.57142857142857,0,NA,NA,7,0.01,NA,NA
18295,13,-0.115348263070617,1.57142857142857,0,NA,NA,7,0.01,NA,NA
18296,14,-0.147197134577558,1.57142857142857,0,NA,NA,7,0.01,NA,NA
18297,15,-0.0757886244658818,1.57142857142857,0,NA,1,7,0.01,0,1
18298,16,-0.102850041085389,1.57142857142857,0,NA,1,7,0.01,0,1
18299,17,0.714466079977653,0.857142857142857,0,NA,1,7,0.25,0,1
18300,18,0,1.85714285714286,0,NA,1,7,0.25,0,1
18301,19,0.088837458167783,1.85714285714286,0,NA,1,7,0.25,0,1
18302,20,0.0591218676029603,1.85714285714286,0,NA,1,7,0.25,0,1
18303,21,0.110206349979536,1.14285714285714,0,NA,1,7,0.25,0,1
18304,22,0.063990353197863,1.14285714285714,0,NA,1,7,0.25,0,1
18305,23,0.0327955589886444,1.14285714285714,0,NA,1,7,0.25,0,1
18306,24,-0.116116523516816,1.14285714285714,0,NA,1,7,0.25,0,1
18307,25,0.397617019549109,0.285714285714286,0,NA,1,7,0.25,0,1
18308,26,0.0368632138484235,0.285714285714286,0,NA,1,7,0.25,0,1
18309,27,-0.213204207530557,0.428571428571429,0,NA,1,7,0.25,0,1
18310,28,0.0152680585782411,0.285714285714286,0,NA,1,7,0.25,0,1
18311,29,-0.0776409220608731,0.285714285714286,0,NA,1,7,0.25,0,1
18312,30,-0.216396090030621,0.285714285714286,0,NA,1,7,0.25,0,1
18313,31,-0.830969149054297,0.285714285714286,0,NA,1,7,0.25,0,1
18314,32,0.527525231651947,0.142857142857143,0,NA,1,7,0.25,0,1
18315,33,0.195228609334394,0.142857142857143,0,NA,1,7,0.25,0,1
18316,34,0.140175425099138,0,0,NA,1,7,0.25,0,1
18317,35,0,0.285714285714286,0,NA,1,7,0.25,0,1
18318,36,1,0.714285714285714,1,NA,1,7,0.25,0,1
18319,37,0.255755978254962,0.714285714285714,1,NA,1,7,0.25,0,1
18320,38,0.219756073175608,0.857142857142857,0,NA,0.967741935483871,7,0.25,0,1
18321,39,0.116199641347488,1,0,NA,0.9375,7,0.25,0,1
18322,40,-0.0199355552875751,1,0,NA,0.909090909090909,7,0.25,0,1
18323,41,-0.250570993611511,1.14285714285714,0,NA,0.882352941176471,7,0.25,0,1
18324,42,-0.0611124696997659,0.857142857142857,0,1,0.882352941176471,18,0.01,0.2,1
18325,43,0.467598771410686,0.428571428571429,0,1,0.857142857142857,7,0.25,0.166666666666667,1
18326,44,-0.0180194939380343,1,0,1,0.857142857142857,7,0.25,0.285714285714286,1
18327,45,-0.030082095875769,1,0,1,0.857142857142857,8,0.06,0.375,1
18328,46,0.0611240511686199,1.14285714285714,1,1,0.857142857142857,8,0.06,0.444444444444444,1
18329,47,0.0359395405656244,1.14285714285714,0,1,0.857142857142857,9,0.04,0.5,1
18330,48,0,1,0,1,0.861111111111111,9,0.04,0.5,1
18331,49,0.215431087010994,1.42857142857143,1,1,0.864864864864865,9,0.04,0.5,1
18332,50,0.860521018838126,2.28571428571429,1,1,0.842105263157895,9,0.04,0.454545454545455,1
18333,51,0.699673171197595,3.28571428571429,1,1,0.820512820512821,9,0.04,0.416666666666667,1
18334,52,0.275810451318027,3.85714285714286,1,1,0.8,9,0.04,0.384615384615385,1
18335,53,0.240231636451477,4.57142857142857,1,1,0.780487804878049,8,0.06,0.357142857142857,1
18336,54,0.922504974731926,9.14285714285714,1,0.739837398373984,0.786885245901639,8,0.01,0.466666666666667,0.923076923076923
18337,55,0.641340023195168,13.8571428571429,1,0.739837398373984,0.766467065868264,8,0.01,0.4375,0.923076923076923
18338,56,0.353150302859566,17.7142857142857,1,0.764705882352941,0.766467065868264,8,0.01,0.470588235294118,0.923076923076923
18339,57,0.244530936158991,21.8571428571429,1,0.785234899328859,0.766467065868263,8,0.01,0.5,0.923076923076923
18340,58,0.2638636985487,28.8571428571429,1,0.802469135802469,0.766467065868263,8,0.01,0.526315789473684,0.923076923076923
18341,59,0.206617146897408,35.2857142857143,1,0.817142857142857,0.766467065868263,8,0.01,0.55,0.923076923076923
18342,60,0.249484168938705,47,1,0.829787234042553,0.766467065868263,8,0.01,0.571428571428571,0.923076923076923
