dates,Days,EVI,Cases,Index,pvs,pvn,lag_all,c_all,se_all,sp_all
18283,1,NA,0,NA,NA,NA,7,0.01,NA,NA
18284,2,NA,0,NA,NA,NA,7,0.01,NA,NA
18285,3,0,0,0,NA,NA,7,0.01,NA,NA
18286,4,0,0,0,NA,NA,7,0.01,NA,NA
18287,5,0,0,0,NA,NA,7,0.01,NA,NA
18288,6,0,0,0,NA,NA,7,0.01,NA,NA
18289,7,0,0,0,NA,NA,7,0.01,NA,NA
18290,8,0,0,0,NA,NA,7,0.01,NA,NA
18291,9,0,0,0,NA,NA,7,0.01,NA,NA
18292,10,0,0,0,NA,NA,7,0.01,NA,NA
18293,11,0,0,0,NA,NA,7,0.01,NA,NA
18294,12,0,0,0,NA,NA,7,0.01,NA,NA
18295,13,0,0,0,NA,NA,7,0.01,NA,NA
18296,14,0,0,0,NA,NA,7,0.01,NA,NA
18297,15,0,0,0,0,0,7,0.01,0,0
18298,16,0,0,0,0,0,7,0.01,0,0
18299,17,0,0,0,0,0,7,0.01,0,0
18300,18,0,0,0,0,0,7,0.01,0,0
18301,19,0,0,0,0,0,7,0.01,0,0
18302,20,0,0,0,0,0,7,0.01,0,0
18303,21,0,0,0,0,0,7,0.01,0,0
18304,22,0,0,0,0,0,7,0.01,0,0
18305,23,0,0,0,0,0,7,0.01,0,0
18306,24,0,0,0,0,0,7,0.01,0,0
18307,25,0,0,0,0,0,7,0.01,0,0
18308,26,0,0,0,0,0,7,0.01,0,0
18309,27,0,0,0,0,0,7,0.01,0,0
18310,28,0,0,0,0,0,7,0.01,0,0
18311,29,0,0,0,0,0,7,0.01,0,0
18312,30,0,0,0,0,0,7,0.01,0,0
18313,31,0,0,0,0,0,7,0.01,0,0
18314,32,0,0,0,0,0,7,0.01,0,0
18315,33,0,0,0,0,0,7,0.01,0,0
18316,34,0,0,0,0,0,7,0.01,0,0
18317,35,0,0,0,0,0,7,0.01,0,0
18318,36,0,0,0,0,0,7,0.01,0,0
18319,37,0,0,0,0,0,7,0.01,0,0
18320,38,0,0,0,0,0,7,0.01,0,0
18321,39,0,0,0,0,0,7,0.01,0,0
18322,40,0,0,0,0,0,7,0.01,0,0
18323,41,0,0,0,0,0,7,0.01,0,0
18324,42,Inf,0.142857142857143,1,0,0,7,0.01,0,0
18325,43,0.290994448735806,0.142857142857143,1,0,0,7,0.01,0,0
18326,44,0.0954451150103322,0.142857142857143,1,0,0,7,0.01,0,0
18327,45,0,0.142857142857143,0,0,0,7,0.01,0,0
18328,46,-0.0871290708247231,0.142857142857143,0,0,0,7,0.01,0,0
18329,47,-0.225403330758517,0.142857142857143,0,0,0,7,0.01,0,0
18330,48,-1,0.142857142857143,0,0,0,7,0.01,0,0
18331,49,Inf,0,0,0.142857142857143,0,7,0.01,0.0277777777777778,0
18332,50,0.290994448735806,0,0,0.25,0,7,0.01,0.0540540540540541,0
18333,51,0.0954451150103322,0,0,0.333333333333333,0,7,0.01,0.0789473684210526,0
18334,52,0.366260102127946,0.285714285714286,1,0.4,0,8,0.01,0.102564102564103,0
18335,53,0.166666666666667,0.285714285714286,1,0.454545454545455,0,10,0.01,0.125,0
18336,54,0.106566670344976,0.285714285714286,1,1,0.166666666666667,10,0.01,0.125,1
18337,55,1.17944947177034,0.857142857142857,1,1,0.162790697674419,10,0.01,0.121951219512195,1
18338,56,1.26413687516318,1.85714285714286,1,1,0.159090909090909,10,0.01,0.119047619047619,1
18339,57,0.267991669824107,1.85714285714286,1,1,0.155555555555556,10,0.01,0.116279069767442,1
18340,58,0.185444575701644,2.14285714285714,1,1,0.152173913043478,10,0.01,0.113636363636364,1
18341,59,0.417102444989092,3.71428571428571,1,1,0.152173913043478,10,0.01,0.133333333333333,1
18342,60,0.606152374087104,6.28571428571429,1,1,0.152173913043478,10,0.01,0.152173913043478,1
18343,61,0.603695078316364,10,1,1,0.152173913043478,10,0.01,0.170212765957447,1
18344,62,0.155287834162547,9.42857142857143,1,1,0.152173913043478,10,0.01,0.1875,1
