dates,Days,EVI,Cases,Index,pvs,pvn,lag_all,c_all,se_all,sp_all
18283,1,NA,0,NA,NA,NA,7,0.01,NA,NA
18284,2,NA,0,NA,NA,NA,7,0.01,NA,NA
18285,3,0,0,0,NA,NA,7,0.01,NA,NA
18286,4,0,0,0,NA,NA,7,0.01,NA,NA
18287,5,0,0,0,NA,NA,7,0.01,NA,NA
18288,6,0,0,0,NA,NA,7,0.01,NA,NA
18289,7,0,0,0,NA,NA,7,0.01,NA,NA
18290,8,0,0,0,NA,NA,7,0.01,NA,NA
18291,9,0,0,0,NA,NA,7,0.01,NA,NA
18292,10,0,0,0,NA,NA,7,0.01,NA,NA
18293,11,0,0,0,NA,NA,7,0.01,NA,NA
18294,12,0,0,0,NA,NA,7,0.01,NA,NA
18295,13,0,0,0,NA,NA,7,0.01,NA,NA
18296,14,0,0,0,NA,NA,7,0.01,NA,NA
18297,15,0,0,0,0,0,7,0.01,0,0
18298,16,0,0,0,0,0,7,0.01,0,0
18299,17,0,0,0,0,0,7,0.01,0,0
18300,18,0,0,0,0,0,7,0.01,0,0
18301,19,0,0,0,0,0,7,0.01,0,0
18302,20,0,0,0,0,0,7,0.01,0,0
18303,21,0,0,0,0,0,7,0.01,0,0
18304,22,0,0,0,0,0,7,0.01,0,0
18305,23,0,0,0,0,0,7,0.01,0,0
18306,24,0,0,0,0,0,7,0.01,0,0
18307,25,0,0,0,0,0,7,0.01,0,0
18308,26,0,0,0,0,0,7,0.01,0,0
18309,27,0,0,0,0,0,7,0.01,0,0
18310,28,0,0,0,0,0,7,0.01,0,0
18311,29,0,0,0,0,0,7,0.01,0,0
18312,30,0,0,0,0,0,7,0.01,0,0
18313,31,0,0,0,0,0,7,0.01,0,0
18314,32,0,0,0,0,0,7,0.01,0,0
18315,33,0,0,0,0,0,7,0.01,0,0
18316,34,0,0,0,0,0,7,0.01,0,0
18317,35,0,0,0,0,0,7,0.01,0,0
18318,36,0,0,0,0,0,7,0.01,0,0
18319,37,0,0,0,0,0,7,0.01,0,0
18320,38,0,0,0,0,0,7,0.01,0,0
18321,39,0,0,0,0,0,7,0.01,0,0
18322,40,0,0,0,0,0,7,0.01,0,0
18323,41,0,0,0,0,0,7,0.01,0,0
18324,42,0,0,0,0,0,7,0.01,0,0
18325,43,0,0,0,0,0,7,0.01,0,0
18326,44,Inf,0.571428571428571,1,0,0,7,0.01,0,0
18327,45,0.865252440466616,1,1,0,0,7,0.01,0,0
18328,46,1.13187949463395,2.28571428571429,1,0,0,7,0.01,0,0
18329,47,0.201119372516976,2.28571428571429,1,0,0,7,0.01,0,0
18330,48,0.1148642852066,2.71428571428571,1,0,0,7,0.01,0,0
18331,49,0.142653755388055,3.71428571428571,1,0,0,7,0.01,0,0
18332,50,0.0167422348303371,4.28571428571429,1,0,0,7,0.01,0,0
18333,51,-0.155858512866829,3.71428571428571,0,0.142857142857143,0,7,0.01,0.0263157894736842,0
18334,52,-0.306804875580129,3.42857142857143,0,0.25,0,7,0.01,0.0512820512820513,0
18335,53,-0.089890727921962,2.71428571428571,0,0.333333333333333,0,7,0.01,0.075,0
18336,54,-0.190981732825592,3.14285714285714,0,0.4,0,7,0.01,0.0975609756097561,0
18337,55,0,2.71428571428571,0,0.454545454545455,0,7,0.01,0.119047619047619,0
18338,56,0.369975490501483,1.85714285714286,0,0.5,0,7,0.01,0.13953488372093,0
18339,57,1.407757760687e-16,1.57142857142857,0,1,0.159090909090909,7,0.02,0.13953488372093,1
18340,58,-0.11965915691705,2,0,1,0.177777777777778,7,0.02,0.13953488372093,1
18341,59,-0.196780671097501,2.28571428571429,0,1,0.195652173913044,7,0.02,0.13953488372093,1
18342,60,-0.00941936219205262,1.85714285714286,0,1,0.212765957446808,7,0.02,0.13953488372093,1
18343,61,-0.337059244079931,2,0,1,0.229166666666667,7,0.02,0.13953488372093,1
18344,62,0.251086484342449,3,1,1,0.244897959183673,7,0.02,0.13953488372093,1
18345,63,0.150684176511554,2.85714285714286,1,1,0.26,7,0.02,0.13953488372093,1
